Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME50000;The Meiji Emperor Coronation;x;
EVTDESC50000;The new Meiji emperor has been crowned in a ceremony today, this will give us a free pass to a new imperial japan and a decline for the current shogun and the following successors, long live the new emperor of our prosperous and valuable empire;x;
EVTOPTA50000;Long live the new Emperor!;x;
EVTNAME50001;The Meiji Rebellion;x;
EVTDESC50001;The instability in the different regions of our glorious empire has led us to a civil war, on the one hand there are those who support the side of Emperor Meiji and on the other hand those who support the current shogun... Our duty is to position ourselves with one of the two and lead Japan to glory;x;
EVTOPTA50001;We support the Emperor;x;
EVTOPTB50001;We support the Shogun;x;
EVTOPTA50003;Long live the Shogun!;x;
EVTOPTA50002;Long live the Emperor!;x;
EVTNAME81000;Recapturing Warsaw;La récapture de Varsovie;Die Rückeroberung Warschaus;;La recuperación de Varsovia;;;;;;;;x
EVTDESC81000;After giving Warsaw to Congress of Poland, and getting it back, we can accept the polish in our country to not separate from us again or not;;Après avoir donné Varsovie au Congrès de Pologne et l'avoir récupéré, nous pouvons accepter les Polonais dans notre pays pour ne pas nous séparer à nouveau de nous;;Nachdem Warschau an den polnischen Reichstag abgegeben und zurückerhalten wurde, können wir die Polen wieder in unser Land aufnehmen, um sie nicht erneut von uns zu trennen;;Después de ceder Varsovia al Congreso de Polonia y recuperarla, podemos aceptar a los polacos en nuestro país para no separarnos de ellos nuevamente.;;;;;;;;x
EVTOPTA81000;Accept them, whe should forgive them.;Les accepter, nous devrions leur pardonner.;Sie annehmen, wir sollten ihnen vergeben.;;Aceptarlos, deberíamos perdonarlos.;;;;;;;;x
EVTOPTB81000;We don't accept, they wanted to independece from us, but we want to asimilate them.;Nous n'acceptons pas, ils voulaient l'indépendance de nous, mais nous voulons les assimiler.;Wir akzeptieren nicht, sie wollten sich von uns unabhängig machen, aber wir wollen sie assimiliert.;;No aceptamos, querían independizarse de nosotros, pero queremos asimilarlos.;;;;;;;;x
EVTOPTC81000;We don't accept, they wanted to independece from us.;Nous n'acceptons pas, ils voulaient l'indépendance de nous.;Wir akzeptieren nicht, sie wollten sich von uns unabhängig machen.;;No aceptamos, querían independizarse de nosotros.;;;;;;;;x
EVTNAME50002;The Meiji Rebellion;x;
EVTDESC50002;The instability in the different regions of our glorious empire has led us to a civil war, on the one hand there are those who support the side of Emperor Meiji and on the other hand those who support the current shogun... Our duty is to position ourselves with one of the two and lead Japan to glory;x;
EVTNAME50004;The Fall of Edo;x;
EVTDESC50004;After the fall of Edo, our forces are minimal and our population is hungry and with low morale... Our duty as a failed state is to cede our power to the new Japanese imperial state. The shogun must abdicate and must leave the country forever. Long live the new and better Japanese state;x;
EVTOPTA50004;Glory to Japan;x;
EVTNAME50005;The Meiji Restoration;x;
EVTDESC50005;After the fall of Edo, our forces are minimal and our population is hungry and with low morale... Our duty as a failed state is to cede our power to the new Japanese imperial state. The shogun must abdicate and must leave the country forever. Long live the new and better Japanese state;x;
EVTOPTA50005;Welcome to The Imperial Japan;x;
EVTNAME50006;Hokkaido Island Treaty;x;
EVTDESC50006;After our complete unification, we can expand our national territory by signing an agreement in which we will obtain Hokkaido Island and incorporate it into our country, as well as gain the provinces as cores. This will increase tensions with the Russian Empire and could lead to war in the future.;x;
EVTOPTA50006;Annex the Island!;x;
EVTOPTB50006;We refuse the island;x;
EVTNAME50007;The St. Petersburg Treaty;x;
EVTDESC50007;The efforts for the negotiation of the Kuril Islands and the island of Sakhalin by the Russian empire and ours have led to the fact that we can include half of these territories to our nation through an equitable treaty and without anyone obtaining more territory than the other.;x;
EVTOPTA50007;Accept the treaty;x;
EVTOPTB50007;Don't accept the treaty;x;
EVTNAME50100;Sakhalin and Kuril Islands Question;x;
EVTDESC50100;Sakhalin Island is without a stable governor so by resorting to democracy, we must establish a protectorate on the islands and establish a stable government, we have information that the Japanese have tried to do the same as well;x;
EVTOPTA50100;Establish the protectorate;x;
EVTOPTB50100;Don't Establish the protectorate;x;
EVTNAME50101;The St. Petersburg Proposal;x;
EVTOPTA50101;Sign and send the treaty;x;
EVTOPTB50101;Don't do anything, the Islands are ours;x;
